source,li_sto,la_sto,zr_sto,li_dop_sto,la_dop_sto,zr_dop_sto,rel_dens_%,conductivity,log_cond,good_cond,li_dopant,la_dopant,zr_dopant,li_dop_ionicrad,la_dop_ionicrad,zr_dop_ionicrad,li_dop_enev,la_dop_enev,zr_dop_enev
10.1016/j.ssi.2017.11.027,5,3,0,0,0,2,,7.18E-07,-6.143875556,0,,,ta,0,0,78,0,0,1.5
10.1016/j.jpowsour.2012.01.094,5.5,3,0.5,0,0,1.5,,9.30E-05,-4.031517051,0,,,ta,0,0,78,0,0,1.5
10.1016/j.ssi.2017.09.005,6.5,2.5,1,0,0.5,1,,1.50E-04,-3.823908741,0,,ba,ta,0,156,78,0,0.89,1.5
10.1039/c2ra01042a,6.5,2.5,1,0,0.5,1,,9.00E-05,-4.045757491,0,,ba,ta,0,156,78,0,0.89,1.5
10.1016/j.ssi.2017.11.027,6.05,2.95,1,0,0.05,1,,1.29E-04,-3.88941029,0,,ca,ta,0,126,78,0,1,1.5
10.1063/1.5141764,6,3,1,0,0,1,84,1.20E-05,-4.920818754,0,,,bi,0,0,90,0,0,2.02
10.1039/c3cp50991e,6,3,1,0,0,1,86,2.60E-04,-3.585026652,0,,,sb,0,0,74,0,0,2.05
10.1016/j.jpowsour.2012.01.094,6,3,1,0,0,1,,2.60E-04,-3.585026652,0,,,ta,0,0,78,0,0,1.5
10.1016/j.ssi.2017.11.027,6,3,1,0,0,1,,8.30E-05,-4.080921908,0,,,ta,0,0,78,0,0,1.5
10.1039/c3cp50991e,6.2,3,1.2,0,0,0.8,84,4.50E-04,-3.346787486,1,,,sb,0,0,74,0,0,2.05
10.1111/jace.13578,6.2,3,1.2,0,0,0.8,76,4.90E-06,-5.30980392,0,,,ta,0,0,78,0,0,1.5
10.1063/1.5141764,6.25,3,1.25,0,0,0.75,83,2.00E-04,-3.698970004,0,,,bi,0,0,90,0,0,2.02
10.1149/2.013405jes,6.3,3,1.3,0,0,0.7,,3.20E-04,-3.494850022,1,,,ta,0,0,78,0,0,1.5
10.1039/c8ta02276c,6.375,3,1.375,0,0,0.625,99.5,1.37E-03,-2.863279433,1,,,nb,0,0,78,0,0,1.6
10.1039/c7dt01573a,6.3,2.9,1.4,0,0.2,0.6,,3.50E-04,-3.455931956,1,,ca,ta,0,126,78,0,1,1.5
10.1016/j.ssi.2017.11.027,6.45,2.95,1.4,0,0.05,0.6,,2.84E-04,-3.54668166,1,,ca,ta,0,126,78,0,1,1.5
10.1016/j.jallcom.2018.02.134,6.45,2.95,1.4,0,0.05,0.6,,4.03E-04,-3.394694954,1,,ca,ta,0,126,78,0,1,1.5
10.1039/c3cp50991e,6.4,3,1.4,0,0,0.6,89,6.60E-04,-3.180456064,1,,,sb,0,0,74,0,0,2.05
10.1016/j.ceramint.2018.09.245,6.4,3,1.4,0,0,0.6,91,3.26E-04,-3.4867824,1,,,ta,0,0,78,0,0,1.5
10.1016/j.elecom.2018.07.001,6.4,3,1.4,0,0,0.6,,2.80E-04,-3.552841969,1,,,ta,0,0,78,0,0,1.5
